1,GENERAL SPEED LAW
2,IMPROPER LANE USAGE
3,SIMPLE BATTERY
4,POSSESSION\DISTRIBUTION MANUFACTURING SCHEDULE I
5,SIMPLE ASSAULT
6,FIRST DEGREE MURDER
7,SIMPLE CRIMINAL DAMAGE TO PROPERTY
8,SIMPLE BURGLARY
9,UNAUTHORIZED ENTRY OF A PLACE OF BUS.
10,ACCESS DEVICE FRAUD
11,SIMPLE ROBBERY
12,RESISTING AN OFFICER
13,DOMESTIC ABUSE BATTERY - CHILD ENDANGERMENT
14,LOUD MUSIC FROM VEHICLE
15,ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES
16,POSSESSION OF MARIJUANA
17,THEFT
18,HIT AND RUN
19,ILLEGAL CARRYING OF FIREARM W/ CDS
20,SIMPLE BURGLARY OF AN INHABITED DWELLING
21,HOME INVASION.
22,AGGRAVATED CRIMINAL DAMAGE TO PROPERTY
23,THEFT OF A MOTOR VEHICLE.
24,POSSESSION OF SCHEDULE IV
25,FAILURE TO MAINTAIN CONTROL
26,AGGRAVATED ASSAULT
27,THEFT OF A FIREARM
28,THEFT OF A MOTOR VEHICLE
29,FUGITIVE
30,SIMPLE KIDNAPPING
31,OPERATING A VEHICLE WHILE INTOXICATED
32,THEFT OF GOODS (SHOPLIFTING)
33,PUBLIC INTIMIDATION
34,SECOND DEGREE RAPE - VAGINAL
35,CARELESS DRIVING
36,SIMPLE BURGLARY - ALL OTHER LARCENY
37,UNAUTHORIZED USE OF A MOTOR VEHICLE
38,POSSESSION OF SCHEDULE II
39,POSSESSION SCHEDULE I
40,BATTERY OF A DATING PARTNER - CHILD ENDANGERMENT
41,AGGRAVATED BATTERY
42,DRIVER'S LICENSE REQUIRED
43,BATTERY OF A DATING PARTNER
44,RECKLESS DRIVING
45,"BATTERY OF EMERGENCY ROOM, EMERGENCY SERVICES, OR HEALTHCARE PERSONNEL"
46,AGGRAVATED ASSAULT WITH A FIREARM
47,POSSESSION OF FIREARM BY FELON
48,SECOND DEGREE BATTERY
49,VIOLATION OF PROTECTIVE ORDERS
